,setup,map_id,smoke_level,trial_index,rmse,rmse_scale,hallucination_count,hallucination_count_total,hallucination_percent,undetected_count,undetected_count_total,undetected_percent,num_clusters,number_disparity,latency_fusion,latency_inference
101,STEREO,2,0,7,0.2080878658720369,18.149409635919845,2076,21601,0.09610666172862367,810,15183,0.053349140486069944,59,242356,,
102,STEREO,2,0,1,0.21379452419736447,17.156507698455645,2674,22982,0.11635192759550952,734,15183,0.04834354211947573,61,242217,,
103,STEREO,2,0,4,0.21498973982229605,17.279019770243277,1475,21972,0.067130893864919,813,15183,0.05354672989527761,57,242582,,
104,STEREO,2,0,3,0.2146363593824205,16.530438640859387,875,21017,0.041632963791216636,835,15183,0.05499571889613383,55,242602,,
105,STEREO,2,3,6,0.11372333677066243,12.862952246297223,34,2410,0.014107883817427386,8733,15183,0.575182770203517,25,114691,,
106,STEREO,2,3,7,0.1322367121561298,13.325582398126581,106,2417,0.04385601985932975,8793,15183,0.5791345583876705,30,114756,,
107,STEREO,2,3,14,0.14669764470953756,11.64554542622641,96,2524,0.03803486529318542,8740,15183,0.5756438121583349,31,114828,,
108,STEREO,2,3,4,0.16265044044240598,14.57094127403086,58,2759,0.021022109459949256,8468,15183,0.5577290390568399,33,114635,,
109,STEREO,2,3,2,0.1368878530958306,17.61930012765674,156,2808,0.05555555555555555,8613,15183,0.5672791938352104,30,114585,,
110,STEREO,2,3,1,0.13551461673519777,17.45277723496708,15,2417,0.006206040546131568,8384,15183,0.5521965355990253,28,114706,,
111,STEREO,2,3,0,0.2083029225892497,13.658026438372168,112,2777,0.04033129276197335,8405,15183,0.5535796614634789,29,114549,,
112,STEREO,2,3,10,0.15048197635203497,12.599585509887241,226,2674,0.08451757666417352,8662,15183,0.5705064875189356,32,114430,,
113,STEREO,2,3,13,0.15946771366313744,14.645445791650864,51,2693,0.018937987374675083,8435,15183,0.5555555555555556,30,114559,,
114,STEREO,2,3,11,0.16099486819158745,12.382965129678363,50,2850,0.017543859649122806,8290,15183,0.546005400777185,29,114555,,
115,STEREO,2,3,8,0.19677045749163166,14.081739438178923,63,2672,0.023577844311377244,8117,15183,0.5346110781795429,32,114583,,
116,STEREO,2,3,5,0.20194497296151245,13.866797428696557,117,2747,0.042591918456498,8500,15183,0.5598366594217217,32,114849,,
117,STEREO,2,3,12,0.1436878533686966,13.825859496936545,52,2536,0.02050473186119874,8335,15183,0.5489692419153,33,114507,,
118,STEREO,2,3,9,0.12444162628153203,13.462553880659016,22,2390,0.009205020920502092,8304,15183,0.5469274846868208,28,114877,,
119,STEREO,2,3,3,0.13087931723214055,13.410144371971045,57,2585,0.022050290135396517,8274,15183,0.5449515905947441,33,114491,,
120,FUSION,6,2,10,0.4095304811817657,16.46129420939337,9642,30666,0.3144198786930151,4897,32357,0.15134283153568007,31,193988,0.3479575819690968,0.30523573373433666
121,FUSION,6,2,9,0.402420901977613,11.962341748782633,9163,30704,0.2984301719645649,5184,32357,0.16021262787032173,34,193885,0.34004324482333276,0.30480909819650176
122,FUSION,6,2,5,0.3972932291103506,11.506468432018222,9326,29934,0.31155208124540656,4972,32357,0.15366072256389654,26,192383,0.34421710837932307,0.30427456477170123
123,FUSION,6,2,0,0.42787957652061814,14.140360855501683,8726,26320,0.33153495440729486,10037,32357,0.31019563000278144,31,196262,0.3479206729318162,0.30790900559949624
124,FUSION,6,2,13,0.40973927622065237,14.270846321820654,9755,31119,0.3134740833574344,4849,32357,0.14985938127762152,34,194301,0.34638848967856917,0.3045363362076916
125,FUSION,6,2,2,0.40724905476271417,12.938551157096217,9971,30844,0.32327194916353263,4856,32357,0.1500757177735884,28,195058,0.34608831937364537,0.3047747815953623
